"","Package","LibPath","Version","Priority","Depends","Imports","LinkingTo","Suggests","Enhances","License","License_is_FOSS","License_restricts_use","OS_type","MD5sum","NeedsCompilation","Built"
"furrr","furrr","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","0.2.3",NA,"future (>= 1.19.1), R (>= 3.2.0)","ellipsis, globals (>= 0.13.1), lifecycle (>= 1.0.0), purrr (>=
0.3.0), rlang (>= 0.3.0), vctrs (>= 0.3.2)",NA,"carrier, covr, dplyr (>= 0.7.4), knitr, listenv (>= 0.6.0),
magrittr, rmarkdown, testthat (>= 3.0.0), withr, tidyselect",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.0.2"
"future","future","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","1.25.0",NA,NA,"digest, globals (>= 0.14.0), listenv (>= 0.8.0), parallel,
parallelly (>= 1.30.0), tools, utils",NA,"RhpcBLASctl, R.rsp, markdown",NA,"LGPL (>= 2.1)",NA,NA,NA,NA,"no","4.0.3"
"future.apply","future.apply","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","1.7.0",NA,"R (>= 3.2.0), future (>= 1.17.0)","globals (>= 0.12.5), parallel, utils",NA,"datasets, stats, tools, listenv (>= 0.8.0), R.rsp, markdown",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.0.2"
"gamm4","gamm4","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","0.2-6",NA,"R (>= 2.9.0), methods, Matrix, lme4 (>= 1.0), mgcv (>= 1.7-23)",NA,NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.0.2"
"gap","gap","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","1.2.2",NA,"R (>= 2.10)",NA,NA,"BradleyTerry2, MASS, Matrix, MCMCglmm, R2jags, bdsmatrix,
calibrate, circlize, coda, coxme, dplyr, foreign, forestplot,
gap.datasets, grid, haplo.stats, kinship2, lattice, magic,
matrixStats, meta, mets, nlme, pedigree, pedigreemm, plotrix,
qqman, regress, reshape, rmeta, rms, survival",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.0.0"
"gargle","gargle","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","1.2.0",NA,"R (>= 3.3)","cli (>= 3.0.0), fs (>= 1.3.1), glue (>= 1.3.0), httr (>=
1.4.0), jsonlite, rappdirs, rlang (>= 0.4.9), rstudioapi,
stats, utils, withr",NA,"aws.ec2metadata, aws.signature, covr, httpuv, knitr, mockr,
rmarkdown, sodium, spelling, testthat (>= 3.0.0)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.0.2"
"gbm","gbm","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","2.1.8",NA,"R (>= 2.9.0)","lattice, parallel, survival",NA,"covr, gridExtra, knitr, pdp, RUnit, splines, tinytest, vip,
viridis",NA,"GPL (>= 2) | file LICENSE",NA,NA,NA,NA,"yes","4.0.2"
"gdata","gdata","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","2.18.0",NA,"R (>= 2.3.0)","gtools, stats, methods, utils",NA,"RUnit",NA,"GPL-2",NA,NA,NA,NA,"no","4.0.0"
"gdtools","gdtools","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","0.2.3",NA,NA,"Rcpp (>= 0.12.12), systemfonts (>= 0.1.1)","Rcpp","htmltools, testthat, fontquiver (>= 0.2.0), curl",NA,"GPL-3 | file LICENSE",NA,NA,NA,NA,"yes","4.0.2"
"gender","gender","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","0.5.4",NA,"R (>= 3.0.0), utils, stats","dplyr (>= 0.8.5), httr (>= 1.4.1), jsonlite (>= 1.6.1)",NA,"genderdata (>= 0.5.0), ggplot2 (>= 3.3.0), knitr (>= 1.28),
testthat (>= 2.3.2), rmarkdown (>= 2.1), covr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.0.0"
"generativeart","generativeart","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","1.0",NA,"R (>= 3.4.1), magrittr, ggplot2","ggplot2, purrr, dplyr",NA,NA,NA,"GPL-3",NA,NA,NA,NA,"no","4.0.3"
"generics","generics","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","0.1.2",NA,"R (>= 3.2)","methods",NA,"covr, pkgload, testthat (>= 3.0.0), tibble, withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.0.5"
"geometry","geometry","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","0.4.5",NA,"R (>= 3.0.0)","magic, Rcpp, lpSolve, linprog","Rcpp, RcppProgress","spelling, testthat, rgl, R.matlab, tripack",NA,"GPL (>= 3)",NA,NA,NA,NA,"yes","4.0.0"
"gert","gert","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","1.3.1",NA,NA,"askpass, credentials (>= 1.2.1), openssl (>= 1.4.1),
rstudioapi (>= 0.11), sys, zip (>= 2.1.0)",NA,"spelling, knitr, rmarkdown, testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.0.2"
"gganimate","gganimate","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","1.0.7",NA,"ggplot2 (>= 3.0.0)","stringi, tweenr (>= 1.0.1), grid, rlang, glue, progress, plyr,
scales, grDevices, utils",NA,"magick, svglite, knitr, rmarkdown, testthat, base64enc,
htmltools, covr, transformr, av, gifski, ragg",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.0.2"
"ggbeeswarm","ggbeeswarm","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","0.7.0.9000",NA,"R (>= 3.2), ggplot2 (>= 3.3.0)","beeswarm, vipor",NA,"gridExtra",NA,"GPL (>=2)",NA,NA,NA,NA,"no","4.0.3"
"ggcorrplot","ggcorrplot","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","0.1.3",NA,"ggplot2","reshape2, stats",NA,"knitr, spelling",NA,"GPL-2",NA,NA,NA,NA,"no","4.0.0"
"ggdist","ggdist","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","2.4.1",NA,"R (>= 3.5.0)","tidyselect, dplyr (>= 1.0.0), tidyr (>= 1.0.0), ggplot2 (>=
3.3.0), purrr (>= 0.2.3), rlang (>= 0.3.0), scales, grid,
forcats, HDInterval, tibble, vctrs, distributional (>= 0.2.0)",NA,"knitr, testthat, vdiffr (>= 1.0.0), svglite, broom (>=
0.5.6), modelr, cowplot, covr, gdtools, rmarkdown, png, fda,
beeswarm, pkgdown",NA,"GPL (>= 3)",NA,NA,NA,NA,"no","4.0.2"
"ggeffects","ggeffects","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","1.0.2",NA,"R (>= 3.4)","graphics, insight (>= 0.11.0), MASS, sjlabelled (>= 1.1.2),
stats",NA,"AER, aod, betareg, brms, clubSandwich, effects (>= 4.1-2),
emmeans (>= 1.4.1), gam, gamm4, gee, geepack, ggplot2,
GLMMadaptive, glmmTMB (>= 1.0.0), httr, knitr, lme4, logistf,
magrittr, Matrix, mice, MCMCglmm, mgcv, nlme, ordinal,
prediction, pscl, quantreg, rmarkdown, rms, robustbase,
rstanarm, rstantools, sandwich, see, sjstats, sjmisc (>=
2.8.2), survey, survival, testthat, VGAM",NA,"GPL-3",NA,NA,NA,NA,"no","4.0.2"
"ggExtra","ggExtra","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","0.9",NA,"R (>= 3.1.0)","colourpicker (>= 1.0), ggplot2 (>= 2.2.0), grDevices, grid (>=
3.1.3), gtable (>= 0.2.0), miniUI (>= 0.1.1), scales (>=
0.2.0), shiny (>= 0.13.0), shinyjs (>= 0.5.2), utils, R6",NA,"knitr (>= 1.7), rmarkdown, rstudioapi (>= 0.5), testthat,
vdiffr, fontquiver, svglite, withr, devtools",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.0.0"
"ggforce","ggforce","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","0.3.3",NA,"ggplot2 (>= 3.0.0), R (>= 3.3.0)","Rcpp (>= 0.12.2), grid, scales, MASS, tweenr (>= 0.1.5),
gtable, rlang, polyclip, stats, grDevices, tidyselect, withr,
utils","Rcpp, RcppEigen","sessioninfo, concaveman, deldir, reshape2, units (>= 0.4-6),
covr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.0.2"
"gghalves","gghalves","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","0.1.1",NA,"ggplot2 (>= 3.0.0), R (>= 3.4.0)","grid, gtable, grDevices",NA,"knitr, rmarkdown, dplyr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.0.2"
"ggm","ggm","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","2.5",NA,"R (>= 3.6)","igraph, methods, graph",NA,NA,NA,"GPL-2",NA,NA,NA,NA,"no","4.0.0"
"ggmap","ggmap","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","3.0.0",NA,"R (>= 3.1.0), ggplot2 (>= 2.2.0)","RgoogleMaps, png, plyr, rjson, jpeg, digest, scales, dplyr,
bitops, grid, glue, httr, stringr, purrr, magrittr, tibble,
tidyr",NA,"MASS, hexbin, testthat",NA,"GPL-2",NA,NA,NA,NA,"no","4.0.0"
"ggpirate","ggpirate","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","0.1.1",NA,"R (>= 3.4.0), ggplot2 (>= 2.2.1)","dplyr (>= 0.7.2), purrr (>= 0.2.4)",NA,NA,NA,"GPL-3",NA,NA,NA,NA,"no","4.0.1"
"ggplot2","ggplot2","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","3.3.5",NA,"R (>= 3.3)","digest, glue, grDevices, grid, gtable (>= 0.1.1), isoband,
MASS, mgcv, rlang (>= 0.4.10), scales (>= 0.5.0), stats,
tibble, withr (>= 2.0.0)",NA,"covr, ragg, dplyr, ggplot2movies, hexbin, Hmisc, interp,
knitr, lattice, mapproj, maps, maptools, multcomp, munsell,
nlme, profvis, quantreg, RColorBrewer, rgeos, rmarkdown, rpart,
sf (>= 0.7-3), svglite (>= 1.2.0.9001), testthat (>= 2.1.0),
vdiffr (>= 1.0.0), xml2","sp","MIT + file LICENSE",NA,NA,NA,NA,"no","4.0.2"
"ggpubr","ggpubr","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","0.4.0",NA,"R (>= 3.1.0), ggplot2","ggrepel, grid, ggsci, stats, utils, tidyr, purrr, dplyr (>=
0.7.1), cowplot, ggsignif, scales, gridExtra, glue, polynom,
rlang, rstatix (>= 0.6.0), tibble, magrittr",NA,"grDevices, knitr, RColorBrewer, gtable",NA,"GPL-2",NA,NA,NA,NA,"no","4.0.2"
"ggraph","ggraph","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","2.0.5",NA,"R (>= 2.10), ggplot2 (>= 3.0.0)","Rcpp (>= 0.12.2), dplyr, ggforce (>= 0.3.1), grid, igraph (>=
1.0.0), scales, MASS, digest, gtable, ggrepel, utils, stats,
viridis, rlang, tidygraph, graphlayouts (>= 0.5.0), withr","Rcpp","network, knitr, rmarkdown, purrr, tibble, seriation, deldir,
gganimate, covr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.0.2"
"ggrepel","ggrepel","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","0.9.1",NA,"R (>= 3.0.0), ggplot2 (>= 2.2.0)","grid, Rcpp, rlang (>= 0.3.0), scales (>= 0.5.0)","Rcpp","knitr, rmarkdown, testthat, gridExtra, devtools, prettydoc,
ggbeeswarm, dplyr, magrittr, readr, stringr",NA,"GPL-3 | file LICENSE",NA,NA,NA,NA,"yes","4.0.2"
"ggridges","ggridges","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","0.5.3",NA,"R (>= 3.2)","ggplot2 (>= 3.0.0), grid (>= 3.0.0), plyr (>= 1.8.0), scales
(>= 0.4.1), withr (>= 2.1.1)",NA,"covr, dplyr, patchwork, ggplot2movies, forcats, knitr,
rmarkdown, testthat, vdiffr",NA,"GPL-2 | file LICENSE",NA,NA,NA,NA,"no","4.0.2"
"ggsci","ggsci","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","2.9",NA,"R (>= 3.0.2)","grDevices, scales, ggplot2 (>= 2.0.0)",NA,"knitr, rmarkdown, gridExtra, reshape2",NA,"GPL-3 | file LICENSE",NA,NA,NA,NA,"no","4.0.2"
"ggside","ggside","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","0.1.2",NA,"ggplot2 (>= 3.0.0)","grid, gtable, rlang, scales, glue, stats",NA,"tidyr, dplyr, testthat (>= 3.0.3), knitr, rmarkdown, vdiffr
(>= 1.0.0), ggdendro, viridis",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.0.3"
"ggsignif","ggsignif","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","0.6.3",NA,NA,"ggplot2 (>= 3.3.5)",NA,"knitr, rmarkdown, spelling, testthat, vdiffr (>= 1.0.2)",NA,"GPL-3 | file LICENSE",NA,NA,NA,NA,"no","4.0.2"
"ggstance","ggstance","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","0.3.5",NA,"R (>= 3.1.0)","ggplot2 (>= 3.2.0), plyr, rlang, withr (>= 2.0.0)",NA,"covr, Hmisc, testthat, vdiffr (>= 0.3.0)",NA,"GPL-3",NA,NA,NA,NA,"no","4.0.2"
"ggthemes","ggthemes","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","4.2.4",NA,"R (>= 3.3.0)","ggplot2 (>= 3.0.0), graphics, grid, methods, purrr, scales,
stringr, tibble",NA,"dplyr, covr, extrafont, glue, knitr, lattice, lintr, maps,
mapproj, pander, rlang, rmarkdown, spelling, testthat, tidyr,
vdiffr, withr",NA,"GPL-2",NA,NA,NA,NA,"no","4.0.2"
"ggthemr","ggthemr","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","1.1.0",NA,"R (>= 3.0.0), ggplot2 (>= 3.3.2)","scales",NA,"testthat",NA,"GPL-3",NA,NA,NA,NA,"no","4.0.3"
"gh","gh","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","1.3.0",NA,NA,"cli (>= 2.0.1), gitcreds, httr (>= 1.2), ini, jsonlite",NA,"covr, knitr, mockery, rmarkdown, rprojroot, spelling,
testthat (>= 2.3.2), withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.0.2"
"gifski","gifski","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","1.4.3",NA,NA,NA,NA,"ggplot2, gapminder",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.0.2"
"giphyr","giphyr","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","0.2.0",NA,"R (>= 3.2.2)","httr, shiny, miniUI, tibble, rstudioapi, utils, dplyr, purrr",NA,NA,NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.0.0"
"git2r","git2r","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","0.28.0",NA,"R (>= 3.1)","graphics, utils",NA,"getPass",NA,"GPL-2",NA,NA,NA,NA,"yes","4.0.2"
"gitcreds","gitcreds","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","0.1.1",NA,NA,NA,NA,"codetools, testthat, knitr, mockery, oskeyring, rmarkdown,
withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.0.2"
"glasso","glasso","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","1.11",NA,NA,NA,NA,NA,NA,"GPL-2",NA,NA,NA,NA,"yes","4.0.0"
"gld","gld","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","2.6.2",NA,NA,"stats, graphics, e1071, lmom",NA,"",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.0.2"
"glmmTMB","glmmTMB","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","1.0.2.1",NA,"R (>= 3.2.0)","methods, TMB (>= 1.7.14), lme4 (>= 1.1-18.9000), Matrix, nlme","TMB, RcppEigen","knitr, rmarkdown, testthat, MASS, lattice, ggplot2 (>=
2.2.1), mlmRev, bbmle (>= 1.0.19), pscl, coda, reshape2, car
(>= 3.0.6), emmeans (>= 1.4), estimability, DHARMa, multcomp,
MuMIn, effects (>= 4.0-1), dotwhisker, broom, broom.mixed,
plyr, png, boot, texreg, xtable, huxtable, numDeriv",NA,"AGPL-3",NA,NA,NA,NA,"yes","4.0.2"
"globals","globals","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","0.14.0",NA,"R (>= 3.1.2)","codetools",NA,NA,NA,"LGPL (>= 2.1)",NA,NA,NA,NA,"no","4.0.2"
"glue","glue","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","1.6.2",NA,"R (>= 3.4)","methods",NA,"covr, crayon, DBI, dplyr, forcats, ggplot2, knitr, magrittr,
microbenchmark, R.utils, rmarkdown, rprintf, RSQLite, stringr,
testthat (>= 3.0.0), vctrs (>= 0.3.0), waldo (>= 0.3.0), withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.0.5"
"gmodels","gmodels","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","2.18.1",NA,"R (>= 1.9.0)","MASS, gdata",NA,"gplots, gtools, Matrix, nlme, lme4 (>= 0.999999-0)",NA,"GPL-2",NA,NA,NA,NA,"no","4.0.0"
"gmp","gmp","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","0.6-2",NA,"R (>= 3.5.0)","methods",NA,"Rmpfr, MASS, round",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.0.2"
"googledrive","googledrive","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","2.0.0",NA,"R (>= 3.3)","cli (>= 3.0.0), gargle (>= 1.2.0), glue (>= 1.4.2), httr,
jsonlite, lifecycle, magrittr, pillar, purrr (>= 0.2.3), rlang
(>= 0.4.9), tibble (>= 2.0.0), utils, uuid, vctrs (>= 0.3.0),
withr",NA,"covr, curl, downlit, dplyr (>= 1.0.0), knitr, mockr,
rmarkdown, roxygen2, sodium, spelling, testthat (>= 3.0.0)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.0.2"
"googlesheets","googlesheets","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","0.3.0",NA,"R (>= 3.2.0)","cellranger (>= 1.0.0), dplyr (>= 0.4.2), httr (>= 1.1.0),
jsonlite, purrr, readr (>= 0.2.2), stats, stringr, tibble,
tidyr, utils, xml2 (>= 1.0.0)",NA,"covr, ggplot2, knitr, rmarkdown, rprojroot, testthat (>=
1.0.0)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.0.0"
"googlesheets4","googlesheets4","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","0.3.0",NA,"R (>= 3.2)","cellranger, curl, gargle (>= 1.0.0), glue (>= 1.3.0),
googledrive (>= 1.0.0), httr, ids, lifecycle, magrittr,
methods, purrr, rematch2, rlang, tibble (>= 2.1.1), utils,
vctrs (>= 0.2.3)",NA,"covr, readr, rmarkdown, sodium, spelling, testthat (>=
2.1.0), withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.0.2"
"gower","gower","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","0.2.2",NA,NA,NA,NA,"tinytest (>= 0.9.3),",NA,"GPL-3",NA,NA,NA,NA,"yes","4.0.1"
"graphics","graphics","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","4.0.3","base",NA,"grDevices",NA,NA,NA,"Part of R 4.0.3",NA,NA,NA,NA,"yes","4.0.3"
"graphlayouts","graphlayouts","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","0.7.1",NA,"R (>= 3.2.0)","igraph, Rcpp","Rcpp, RcppArmadillo","oaqc, testthat, ggraph, ggplot2, knitr, rmarkdown",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.0.2"
"grDevices","grDevices","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","4.0.3","base",NA,NA,NA,"KernSmooth",NA,"Part of R 4.0.3",NA,NA,NA,NA,"yes","4.0.3"
"greybox","greybox","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","0.6.8",NA,"R (>= 3.5.0)","stats, graphics, utils, lamW, pracma, nloptr, statmod, zoo,
Matrix, texreg, forecast, methods","Rcpp","smooth (>= 3.0.0), doMC, doParallel, foreach, testthat,
rmarkdown, knitr","vars,","GPL (>= 2)",NA,NA,NA,NA,"yes","4.0.2"
"grid","grid","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","4.0.3","base",NA,"grDevices, utils",NA,"lattice",NA,"Part of R 4.0.3",NA,NA,NA,NA,"yes","4.0.3"
"gridExtra","gridExtra","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","2.3",NA,NA,"gtable, grid, grDevices, graphics, utils",NA,"ggplot2, egg, lattice, knitr, testthat",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.0.0"
"gsl","gsl","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","2.1-6",NA,"R (>= 3.1.0)",NA,NA,NA,NA,"GPL-3",NA,NA,NA,NA,"yes","4.0.2"
"gss","gss","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","2.2-2",NA,"R (>= 3.0.0), stats",NA,NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.0.0"
"gtable","gtable","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","0.3.0",NA,"R (>= 3.0)","grid",NA,"covr, testthat, knitr, rmarkdown, ggplot2, profvis",NA,"GPL-2",NA,NA,NA,NA,"no","4.0.0"
"gtools","gtools","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","3.9.2",NA,"methods, stats, utils",NA,NA,"car, gplots, knitr, rstudioapi, SGP, taxize",NA,"GPL-2",NA,NA,NA,NA,"yes","4.0.2"
"haven","haven","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","2.4.1",NA,"R (>= 3.2)","forcats (>= 0.2.0), hms, methods, readr (>= 0.1.0), rlang (>=
0.4.0), tibble, tidyselect, vctrs (>= 0.3.0)","cpp11","cli, covr, crayon, fs, knitr, pillar (>= 1.4.0), rmarkdown,
testthat (>= 3.0.0)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.0.2"
"HDInterval","HDInterval","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","0.2.2",NA,NA,NA,NA,"coda",NA,"GPL-3",NA,NA,NA,NA,"no","4.0.2"
"here","here","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","1.0.1",NA,NA,"rprojroot (>= 2.0.2)",NA,"conflicted, covr, fs, knitr, palmerpenguins, plyr, readr,
rlang, rmarkdown, testthat, uuid, withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.0.2"
"hexbin","hexbin","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","1.28.2",NA,"R (>= 2.0.1), methods","lattice, grid, graphics, grDevices, stats, utils",NA,"marray, affy, Biobase, limma, knitr",NA,"GPL-2",NA,NA,NA,NA,"yes","4.0.2"
"highr","highr","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","0.9",NA,"R (>= 3.2.3)","xfun (>= 0.18)",NA,"knitr, markdown, testit",NA,"GPL",NA,NA,NA,NA,"no","4.0.2"
"Hmisc","Hmisc","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","4.5-0",NA,"lattice, survival (>= 3.1-6), Formula, ggplot2 (>= 2.2)","methods, latticeExtra, cluster, rpart, nnet, foreign, gtable,
grid, gridExtra, data.table, htmlTable (>= 1.11.0), viridis,
htmltools, base64enc",NA,"acepack, chron, rms, mice, tables, knitr, plotly (>= 4.5.6),
rlang, plyr, VGAM",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.0.2"
"hms","hms","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","1.1.0",NA,NA,"ellipsis (>= 0.3.2), lifecycle, methods, pkgconfig, rlang,
vctrs (>= 0.3.8)",NA,"crayon, lubridate, pillar (>= 1.1.0), testthat (>= 3.0.0)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.0.2"
"html2latex","html2latex","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","0.0.9000",NA,"R (>= 4.0)","sjPlot (>= 2.8.7), lme4 (>= 1.1.26), stringr (>= 1.4.0)",NA,"knitr, rmarkdown",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.0.3"
"htmlTable","htmlTable","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","2.1.0",NA,NA,"stringr, knitr (>= 1.6), magrittr (>= 1.5), methods,
checkmate, htmlwidgets, htmltools, rstudioapi (>= 0.6)",NA,"testthat, XML, xml2, Hmisc, reshape, rmarkdown, chron,
lubridate, tibble, purrr, tidyselect, glue, rlang, tidyr (>=
0.7.2), dplyr (>= 0.7.4)",NA,"GPL (>= 3)",NA,NA,NA,NA,"no","4.0.2"
"htmltools","htmltools","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","0.5.1.1",NA,"R (>= 2.14.1)","utils, digest, grDevices, base64enc, rlang",NA,"markdown, testthat, withr, Cairo, ragg, shiny","knitr","GPL (>= 2)",NA,NA,NA,NA,"yes","4.0.2"
"htmlwidgets","htmlwidgets","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","1.5.3",NA,NA,"grDevices, htmltools (>= 0.3), jsonlite (>= 0.9.16), yaml",NA,"knitr (>= 1.8), rmarkdown, testthat","shiny (>= 1.1)","MIT + file LICENSE",NA,NA,NA,NA,"no","4.0.2"
"httpuv","httpuv","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","1.6.1",NA,"R (>= 2.15.1)","Rcpp (>= 0.11.0), utils, R6, promises, later (>= 0.8.0)","Rcpp, later","testthat, callr, curl, websocket",NA,"GPL (>= 2) | file LICENSE",NA,NA,NA,NA,"yes","4.0.2"
"httr","httr","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","1.4.2",NA,"R (>= 3.2)","curl (>= 3.0.0), jsonlite, mime, openssl (>= 0.8), R6",NA,"covr, httpuv, jpeg, knitr, png, readr, rmarkdown, testthat
(>= 0.8.0), xml2",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.0.2"
"huge","huge","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","1.3.4.1",NA,"R (>= 3.0.0)","Matrix, igraph, MASS, grDevices, graphics, methods, stats,
utils, Rcpp","Rcpp, RcppEigen",NA,NA,"GPL-2",NA,NA,NA,NA,"yes","4.0.0"
"hugodown","hugodown","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","0.0.0.9000",NA,NA,"brio, curl, digest, downlit, evaluate, fs, later, processx,
rappdirs, RcppTOML, rlang, rmarkdown, usethis (>= 1.6.0),
whisker, withr, whoami, yaml",NA,"covr, DiagrammeR, gh, htmltools, magick, rstudioapi, testthat
(>= 3.0.0), knitr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.0.3"
"hunspell","hunspell","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","3.0.1",NA,"R (>= 3.0.2)","Rcpp, digest","Rcpp (>= 0.12.12)","spelling, testthat, pdftools, janeaustenr, wordcloud2, knitr,
stopwords, rmarkdown",NA,"GPL-2 | LGPL-2.1 | MPL-1.1",NA,NA,NA,NA,"yes","4.0.2"
